nazwa_leku,substancja_czynna,postac_leku,dawka_leku,zawartosc_opakowania,identyfikator_leku,lp
5 Fluorouracil - Ebewe,Fluorouracilum, roztwór do wstrzykiwañ i infuzji, 1000 mg,1 fiol.po 20 ml,05909990450633,1
5-Fluorouracil-Ebewe,Fluorouracilum, roztwór do wstrzykiwañ i infuzji, 500 mg,1 fiol.po 100 ml,05909990336258,2
Abasaglar,Insulinum glarginum, roztwór do wstrzykiwañ we wk³adzie, 100 j.m./ml,10 wk³.po 3 ml,05909991201982,3
Abevmy,Bewacyzumab, koncentrat do sporz¹dzania roztworu do infuzji, 25 mg/ml,1 fiol.a 4 ml,05901797710972,4
Abevmy,Bewacyzumab, koncentrat do sporz¹dzania roztworu do infuzji, 25 mg/ml,1 fiol.a 16 ml,05901797710989,5
Abilify,Aripiprazolum, tabl., 10 mg,56 szt.,05038256002573,6
Abilify,Aripiprazolum, tabl., 15 mg,28 szt.,05901878600888,7
Abilify,Aripiprazolum, tabl., 15 mg,56 szt.,05901878600895,8
Abilify,Aripiprazolum, tabl., 15 mg,28 szt.,05903792743528,9
Abilify,Aripiprazolum, tabl., 15 mg,56 szt.,05903792743535,10
Abilify,Aripiprazolum, tabl., 15 mg,28 szt.,05909990002306,11
Abilify,Aripiprazolum, tabletki, 15 mg,56 szt.,05909990002337,12
Abilify,Aripiprazolum, tabletki, 30 mg,56 szt.,05909990002382,13
Abilify Maintena,Aripiprazolum, proszek i rozpuszczalnik do sporz¹dzania zawiesiny do wstrzykiwañ o przed³u¿onym uwalnianiu, 400 mg,1 fiol. proszku + fiol. rozp.,05702157142200,14
Abra,Paski do oznaczania glukozy we krwi, test paskowy,,50 pasków,5907581253625,15
Abraxane,Paclitaxelum albuminatum, proszek do sporz¹dzania zawiesiny do infuzji, 5 mg/ml,1 fiol.po 100 mg,05909990930265,16
Absenor,Natrii valproas, tabl. o przed³u¿onym uwalnianiu, 500 mg,100 szt.,05909990042364,17
Absenor,Natrii valproas, tabl. o przed³u¿onym uwalnianiu, 300 mg,100 szt.,05909990042371,18
Accofil,Filgrastimum, roztwór do wstrzykiwañ lub infuzji, 30 mln j./0.5 ml,1 amp.-strz.,05055565713846,19
Accofil,Filgrastimum, roztwór do wstrzykiwañ lub infuzji, 48 mln j./0.5 ml,1 amp.-strz.,05055565713853,20
Accofil,Filgrastimum, roztwór do wstrzykiwañ lub infuzji, 30 mln j./0.5 ml,5 amp.-strz.,05055565713860,21
Accofil,Filgrastimum, roztwór do wstrzykiwañ lub infuzji, 48 mln j./0.5 ml,5 amp.-strz.,05055565713877,22
Accofil,Filgrastimum, roztwór do wstrzykiwañ lub infuzji, 30 mln j./0.5 ml,7 amp.-strz.,05055565726068,23
Accofil,Filgrastimum, roztwór do wstrzykiwañ lub infuzji, 48 mln j./0.5 ml,7 amp.-strz.,05055565726075,24
Accordeon,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 10 mg,100 szt.,05909990940769,25
Accordeon,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 20 mg,100 szt.,05909990941247,26
Accordeon,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 40 mg,100 szt.,05909990941407,27
Accordeon,Oxycodoni hydrochloridum, tabl. o przed³u¿onym uwalnianiu, 80 mg,100 szt.,05909990941568,28
Accu-Chek Active,Paski do oznaczania glukozy we krwi, test paskowy,,50 pasków,4015630056316,29
Accu-Chek Instant,Paski do oznaczania glukozy we krwi, test paskowy,,100 szt.,4015630067732,30
Accu-Chek Performa,Paski do oznaczania glukozy we krwi, test paskowy,,50 szt.,4015630980987,31
Accupro 10,Quinaprilum, tabl. powl., 10 mg,30 szt.,05909990707010,32
