identyfikator_leku,zakres_wskazan,zakres_wskazan_pozarejestracyjnych,poziom_odplatnosci,wysokosc_doplaty_swiadczeniobiorcy,id_leku
05909990450633,,,bezp³atny,0,1
05909990336258,,,bezp³atny,0,2
05909991201982,Cukrzyca typu I u doros³ych; m³odzie¿y i dzieci od 6 roku ¿ycia; Cukrzyca typu 2 u pacjentów leczonych insulin¹ NPH od co najmniej 6 miesiêcy i z HbA1c ?8% oraz cukrzyca typu 2 u pacjentów leczonych insulin¹ NPH od co najmniej 6 miesiêcy i z udokumentowanymi nawracaj¹cymi epizodami ciê¿kiej lub nocnej hipoglikemii oraz cukrzyca typu 1 u dzieci w wieku od 2 do 6 lat oraz cukrzyca o znanej przyczynie (zgodnie z definicj¹ wg WHO),,30%,91.78,3
05909991201982,,,,,3
05909991201982,,,,,3
05901797710972,,,bezp³atny,0,4
05901797710972,,,bezp³atny,0,4
05901797710989,,,bezp³atny,0,5
05038256002573,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,3.98,6
05901878600888,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,3.2,7
05901878600895,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,5.97,8
05903792743528,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,3.2,9
05903792743535,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,5.97,10
05909990002306,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,7.71,11
05909990002337,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,6.03,12
05909990002382,Schizofrenia; Choroba afektywna dwubiegunowa,zespó³ Tourette'a,rycza³t,11.95,13
05702157142200,Schizofrenia u doros³ych pacjentów; u których uzyskano odpowiedni¹ stabilizacjê podczas leczenia arypiprazolem w postaci doustnej; w przypadku nawrotu objawów psychotycznych w wyniku udokumentowanego; uporczywego braku wspó³pracy chorego,,bezp³atny do limitu,0,14
5907581253625,Cukrzyca typu I; Pozosta³e typy cukrzycy wymagaj¹ce co najmniej 3 wstrzykniêæ insuliny na dobê oraz terapia cukrzycy za pomoc¹ pompy insulinowej,,rycza³t,3.48,15
5907581253625,Cukrzyca,,30%,11.65,15
05909990930265,,,bezp³atny,0,16
05909990042364,Padaczka,neuralgia lub neuropatia w obrêbie twarzy,rycza³t,3.56,17
05909990042364,Choroby psychiczne lub upoœledzenia umys³owe,,bezp³atny do limitu,0,17
05909990042371,Padaczka,neuralgia lub neuropatia w obrêbie twarzy,rycza³t,3.2,18
05909990042371,Choroby psychiczne lub upoœledzenia umys³owe,,bezp³atny do limitu,0,18
05055565713846,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,gor¹czka neutropeniczna (zaka¿enie w przebiegu neutropenii) - w przypadkach innych ni¿ okreœlone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych ni¿ okreœlone w ChPL; neutropenia nabyta - w przypadkach innych ni¿ okreœlone w ChPL,rycza³t,37.33,19
05055565713846,,,bezp³atny,0,19
05055565713853,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,gor¹czka neutropeniczna (zaka¿enie w przebiegu neutropenii) - w przypadkach innych ni¿ okreœlone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych ni¿ okreœlone w ChPL; neutropenia nabyta - w przypadkach innych ni¿ okreœlone w ChPL,rycza³t,60.93,20
05055565713853,,,bezp³atny,0,20
05055565713860,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,gor¹czka neutropeniczna (zaka¿enie w przebiegu neutropenii) - w przypadkach innych ni¿ okreœlone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych ni¿ okreœlone w ChPL; neutropenia nabyta - w przypadkach innych ni¿ okreœlone w ChPL,rycza³t,8.37,21
05055565713860,,,bezp³atny,0,21
05055565713877,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,gor¹czka neutropeniczna (zaka¿enie w przebiegu neutropenii) - w przypadkach innych ni¿ okreœlone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych ni¿ okreœlone w ChPL; neutropenia nabyta - w przypadkach innych ni¿ okreœlone w ChPL,rycza³t,14.37,22
05055565713877,,,bezp³atny,0,22
05055565726068,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,gor¹czka neutropeniczna (zaka¿enie w przebiegu neutropenii) - w przypadkach innych ni¿ okreœlone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych ni¿ okreœlone w ChPL; neutropenia nabyta - w przypadkach innych ni¿ okreœlone w ChPL,rycza³t,11.29,23
05055565726075,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,gor¹czka neutropeniczna (zaka¿enie w przebiegu neutropenii) - w przypadkach innych ni¿ okreœlone w ChPL; anemia aplastyczna; neutropenia wrodzona - w przypadkach innych ni¿ okreœlone w ChPL; neutropenia nabyta - w przypadkach innych ni¿ okreœlone w ChPL,rycza³t,20.14,24
05909990940769,Neuralgia popó³paœcowa przewlek³a; Nowotwory z³oœliwe; Wieloobjawowy miejscowy zespó³ bólowy typu I - odruchowa dystrofia wspó³czulna oraz typu II – kauzalgia,,rycza³t,12.19,25
05909990940769,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,12.19,25
05909990940769,,,,,25
05909990941247,Neuralgia popó³paœcowa przewlek³a; Nowotwory z³oœliwe; Wieloobjawowy miejscowy zespó³ bólowy typu I - odruchowa dystrofia wspó³czulna oraz typu II – kauzalgia,,rycza³t,15.27,26
05909990941247,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,15.27,26
05909990941247,,,,,26
05909990941407,Neuralgia popó³paœcowa przewlek³a; Nowotwory z³oœliwe; Wieloobjawowy miejscowy zespó³ bólowy typu I - odruchowa dystrofia wspó³czulna oraz typu II – kauzalgia,,rycza³t,19.91,27
05909990941407,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,19.91,27
05909990941407,,,,,27
05909990941568,Neuralgia popó³paœcowa przewlek³a; Nowotwory z³oœliwe; Wieloobjawowy miejscowy zespó³ bólowy typu I - odruchowa dystrofia wspó³czulna oraz typu II – kauzalgia,,rycza³t,27.34,28
05909990941568,We wszystkich zarejestrowanych wskazaniach na dzieñ wydania decyzji,,rycza³t,27.34,28
05909990941568,,,,,28
4015630056316,Cukrzyca typu I; Pozosta³e typy cukrzycy wymagaj¹ce co najmniej 3 wstrzykniêæ insuliny na dobê oraz terapia cukrzycy za pomoc¹ pompy insulinowej,,rycza³t,3.48,29
